,1,28086798694
3309,2,28086802003
1655,3,28086803658
1655,4,28086805313
1656,5,28086806969
1655,6,28086808624
1655,7,28086810279
1655,8,28086811934
1656,9,28086813590
1655,10,28086815245
1655,11,28086816900
1656,12,28086818556
1655,13,28086820211
1655,14,28086821866
1656,15,28086823522
1655,16,28086825177
1655,17,28086826832
1655,18,28086828487
3310,19,28086831797
1656,20,28086833453
1655,21,28086835108
1655,22,28086836763
1656,23,28086838419
1655,24,28086840074
1655,25,28086841729
1656,26,28086843385
3310,27,28086846695
3311,28,28086850006
3310,29,28086853316
3311,30,28086856627
3310,31,28086859937
1656,32,28086861593
1655,33,28086863248
1655,34,28086864903
1656,35,28086866559
1655,36,28086868214
1655,37,28086869869
1655,38,28086871524
1656,39,28086873180
1655,40,28086874835
1656,41,28086876491
1655,42,28086878146
3310,43,28086881456
1656,44,28086883112
1655,45,28086884767
1655,46,28086886422
3311,47,28086889733
3310,48,28086893043
1655,49,28086894698
1655,50,28086896353
1656,51,28086898009
1655,52,28086899664
1655,53,28086901319
1655,54,28086902974
1656,55,28086904630
1655,56,28086906285
1655,57,28086907940
3311,58,28086911251
1655,59,28086912906
1655,60,28086914561
1656,61,28086916217
1655,62,28086917872
1655,63,28086919527
1655,64,28086921182
1656,65,28086922838
1655,66,28086924493
1655,67,28086926148
1656,68,28086927804
1655,69,28086929459
1655,70,28086931114
1656,71,28086932770
1655,72,28086934425
1655,73,28086936080
1655,74,28086937735
1656,75,28086939391
1655,76,28086941046
1655,77,28086942701
1655,78,28086944356
1656,79,28086946012
1655,80,28086947667
1655,81,28086949322
1656,82,28086950978
1655,83,28086952633
1655,84,28086954288
1655,85,28086955943
1656,86,28086957599
1655,87,28086959254
1656,88,28086960910
1655,89,28086962565
1655,90,28086964220
1655,91,28086965875
1656,92,28086967531
1655,93,28086969186
1655,94,28086970841
1655,95,28086972496
1656,96,28086974152
1655,97,28086975807
1655,98,28086977462
1655,99,28086979117
1656,100,28086980773
1655,101,28086982428
1655,102,28086984083
1656,103,28086985739
1655,104,28086987394
1655,105,28086989049
3320,106,28086992369
1646,107,28086994015
1655,108,28086995670
1656,109,28086997326
1655,110,28086998981
1655,111,28087000636
1655,112,28087002291
1656,113,28087003947
1655,114,28087005602
1655,115,28087007257
1655,116,28087008912
1656,117,28087010568
1655,118,28087012223
1656,119,28087013879
1655,120,28087015534
1655,121,28087017189
1655,122,28087018844
1655,123,28087020499
1656,124,28087022155
1655,125,28087023810
1655,126,28087025465
1656,127,28087027121
1655,128,28087028776
1655,129,28087030431
1655,130,28087032086
1656,131,28087033742
1655,132,28087035397
1655,133,28087037052
1656,134,28087038708
1655,135,28087040363
1655,136,28087042018
1655,137,28087043673
1656,138,28087045329
1655,139,28087046984
1655,140,28087048639
1655,141,28087050294
1656,142,28087051950
1655,143,28087053605
1655,144,28087055260
1656,145,28087056916
1655,146,28087058571
1655,147,28087060226
1655,148,28087061881
1656,149,28087063537
1655,150,28087065192
1655,151,28087066847
1656,152,28087068503
1655,153,28087070158
1655,154,28087071813
1656,155,28087073469
1655,156,28087075124
1655,157,28087076779
1656,158,28087078435
1655,159,28087080090
1655,160,28087081745
1655,161,28087083400
1655,162,28087085055
1656,163,28087086711
1655,164,28087088366
1655,165,28087090021
1656,166,28087091677
1655,167,28087093332
1655,168,28087094987
1655,169,28087096642
1656,170,28087098298
1655,171,28087099953
1655,172,28087101608
1656,173,28087103264
1655,174,28087104919
1655,175,28087106574
1655,176,28087108229
1656,177,28087109885
1655,178,28087111540
1655,179,28087113195
1655,180,28087114850
1656,181,28087116506
1655,182,28087118161
1655,183,28087119816
1656,184,28087121472
1655,185,28087123127
1655,186,28087124782
1655,187,28087126437
1656,188,28087128093
1655,189,28087129748
1656,190,28087131404
1657,191,28087133061
1653,192,28087134714
1656,193,28087136370
1654,194,28087138024
1656,195,28087139680
1655,196,28087141335
1655,197,28087142990
1656,198,28087144646
1655,199,28087146301
1655,200,28087147956
1655,201,28087149611
1656,202,28087151267
1655,203,28087152922
1656,204,28087154578
1655,205,28087156233
1655,206,28087157888
1655,207,28087159543
1655,208,28087161198
1656,209,28087162854
1655,210,28087164509
1655,211,28087166164
1655,212,28087167819
1656,213,28087169475
1655,214,28087171130
1655,215,28087172785
1656,216,28087174441
1655,217,28087176096
1655,218,28087177751
1656,219,28087179407
1655,220,28087181062
1655,221,28087182717
1655,222,28087184372
1656,223,28087186028
1655,224,28087187683
1655,225,28087189338
1655,226,28087190993
1656,227,28087192649
1655,228,28087194304
1655,229,28087195959
1656,230,28087197615
1655,231,28087199270
1655,232,28087200925
1656,233,28087202581
1655,234,28087204236
1655,235,28087205891
1656,236,28087207547
1655,237,28087209202
1655,238,28087210857
1674,239,28087212531
1636,240,28087214167
1656,241,28087215823
1655,242,28087217478
1655,243,28087219133
1656,244,28087220789
1655,245,28087222444
1655,246,28087224099
1655,247,28087225754
1656,248,28087227410
1655,249,28087229065
1655,250,28087230720
1656,251,28087232376
1655,252,28087234031
1655,253,28087235686
1655,254,28087237341
1656,255,28087238997
1655,256,28087240652
1655,257,28087242307
1655,258,28087243962
