,1,26387360698
1656,321,26387903630
1655,322,26387905285
1655,323,26387906940
1655,324,26387908595
1656,325,26387910251
1655,326,26387911906
1655,327,26387913561
1656,328,26387915217
1671,329,26387916888
1639,330,26387918527
1656,331,26387920183
1655,332,26387921838
1655,333,26387923493
1655,334,26387925148
1656,335,26387926804
1655,336,26387928459
1655,337,26387930114
1655,338,26387931769
1656,339,26387933425
1655,340,26387935080
1655,341,26387936735
1656,342,26387938391
1655,343,26387940046
1655,344,26387941701
1655,345,26387943356
1656,346,26387945012
1655,347,26387946667
1656,348,26387948323
1655,349,26387949978
1655,350,26387951633
1655,351,26387953288
1656,352,26387954944
1655,353,26387956599
1655,354,26387958254
1655,355,26387959909
1655,356,26387961564
1656,357,26387963220
1655,358,26387964875
3311,359,26387968186
1655,360,26387969841
1655,361,26387971496
1656,362,26387973152
1655,363,26387974807
1655,364,26387976462
1655,365,26387978117
1656,366,26387979773
1655,367,26387981428
1655,368,26387983083
1655,369,26387984738
1656,370,26387986394
1655,371,26387988049
1655,372,26387989704
1656,373,26387991360
1655,374,26387993015
1655,375,26387994670
1655,376,26387996325
1656,377,26387997981
1655,378,26387999636
1655,379,26388001291
1656,380,26388002947
1655,381,26388004602
1655,382,26388006257
1655,383,26388007912
1656,384,26388009568
1655,385,26388011223
1655,386,26388012878
1656,387,26388014534
1655,388,26388016189
1655,389,26388017844
1655,390,26388019499
1656,391,26388021155
1655,392,26388022810
1655,393,26388024465
1656,394,26388026121
1655,395,26388027776
1669,396,26388029445
1641,397,26388031086
1656,398,26388032742
1655,399,26388034397
1655,400,26388036052
1655,401,26388037707
1656,402,26388039363
1655,403,26388041018
1655,404,26388042673
1656,405,26388044329
1655,406,26388045984
1655,407,26388047639
1656,408,26388049295
1655,409,26388050950
1655,410,26388052605
1655,411,26388054260
1656,412,26388055916
1655,413,26388057571
1655,414,26388059226
1656,415,26388060882
1655,416,26388062537
1655,417,26388064192
1655,418,26388065847
1656,419,26388067503
1655,420,26388069158
1655,421,26388070813
1656,422,26388072469
1655,423,26388074124
1655,424,26388075779
1655,425,26388077434
1656,426,26388079090
1655,427,26388080745
1655,428,26388082400
1655,429,26388084055
1656,430,26388085711
1655,431,26388087366
1656,432,26388089022
1655,433,26388090677
1655,434,26388092332
1655,435,26388093987
1655,436,26388095642
1656,437,26388097298
1655,438,26388098953
1655,439,26388100608
1656,440,26388102264
1655,441,26388103919
1655,442,26388105574
1655,443,26388107229
1656,444,26388108885
1655,445,26388110540
1655,446,26388112195
1655,447,26388113850
1656,448,26388115506
1655,449,26388117161
1655,450,26388118816
1656,451,26388120472
1655,452,26388122127
1655,453,26388123782
1655,454,26388125437
1656,455,26388127093
1655,456,26388128748
1655,457,26388130403
1656,458,26388132059
1655,459,26388133714
1655,460,26388135369
1656,461,26388137025
1655,462,26388138680
1655,463,26388140335
1669,464,26388142004
1642,465,26388143646
1655,466,26388145301
1655,467,26388146956
1655,468,26388148611
1656,469,26388150267
1655,470,26388151922
1655,471,26388153577
1656,472,26388155233
1655,473,26388156888
1655,474,26388158543
1655,475,26388160198
1656,476,26388161854
1655,477,26388163509
1655,478,26388165164
1656,479,26388166820
1655,480,26388168475
3310,481,26388171785
1656,482,26388173441
1655,483,26388175096
1655,484,26388176751
1655,485,26388178406
1656,486,26388180062
1655,487,26388181717
1655,488,26388183372
1656,489,26388185028
1655,490,26388186683
1655,491,26388188338
1655,492,26388189993
1656,493,26388191649
1655,494,26388193304
1655,495,26388194959
1656,496,26388196615
1655,497,26388198270
1655,498,26388199925
1655,499,26388201580
1656,500,26388203236
1655,501,26388204891
1655,502,26388206546
1656,503,26388208202
1655,504,26388209857
1655,505,26388211512
1655,506,26388213167
1656,507,26388214823
1655,508,26388216478
1655,509,26388218133
1656,510,26388219789
1655,511,26388221444
1655,512,26388223099
1656,513,26388224755
1655,514,26388226410
1655,515,26388228065
1656,516,26388229721
1654,517,26388231375
1656,518,26388233031
1655,519,26388234686
1655,520,26388236341
1656,521,26388237997
1655,522,26388239652
1655,523,26388241307
1655,524,26388242962
1656,525,26388244618
1655,526,26388246273
1655,527,26388247928
1656,528,26388249584
1655,529,26388251239
1655,530,26388252894
1659,531,26388254553
1652,532,26388256205
1656,533,26388257861
1655,534,26388259516
1655,535,26388261171
1655,536,26388262826
1655,537,26388264481
1655,538,26388266136
1656,539,26388267792
1655,540,26388269447
1655,541,26388271102
3311,542,26388274413
1655,543,26388276068
1656,544,26388277724
1655,545,26388279379
3310,546,26388282689
1656,547,26388284345
1655,548,26388286000
1655,549,26388287655
1655,550,26388289310
1656,551,26388290966
1655,552,26388292621
1655,553,26388294276
1655,554,26388295931
1656,555,26388297587
1655,556,26388299242
1655,557,26388300897
1656,558,26388302553
3310,559,26388305863
1655,560,26388307518
1656,561,26388309174
1655,562,26388310829
1655,563,26388312484
1655,564,26388314139
1655,565,26388315794
1656,566,26388317450
1655,567,26388319105
1655,568,26388320760
1656,569,26388322416
1655,570,26388324071
1655,571,26388325726
1655,572,26388327381
1656,573,26388329037
1655,574,26388330692
1655,575,26388332347
1656,576,26388334003
1655,577,26388335658
1656,578,26388337314
1655,579,26388338969
1655,580,26388340624
1656,581,26388342280
1655,582,26388343935
1655,583,26388345590
1655,584,26388347245
1655,585,26388348900
1655,586,26388350555
1656,587,26388352211
1655,588,26388353866
1655,589,26388355521
1656,590,26388357177
1655,591,26388358832
1655,592,26388360487
1657,593,26388362144
1654,594,26388363798
1655,595,26388365453
1655,596,26388367108
1655,597,26388368763
1656,598,26388370419
1655,599,26388372074
1655,600,26388373729
1656,601,26388375385
1655,602,26388377040
1655,603,26388378695
1656,604,26388380351
1655,605,26388382006
1655,606,26388383661
1655,607,26388385316
1656,608,26388386972
1655,609,26388388627
1655,610,26388390282
1655,611,26388391937
1656,612,26388393593
1655,613,26388395248
1655,614,26388396903
1656,615,26388398559
1655,616,26388400214
1655,617,26388401869
1655,618,26388403524
1656,619,26388405180
1655,620,26388406835
1655,621,26388408490
1655,622,26388410145
1656,623,26388411801
1655,624,26388413456
1656,625,26388415112
1655,626,26388416767
1655,627,26388418422
1655,628,26388420077
1655,629,26388421732
1656,630,26388423388
1655,631,26388425043
1656,632,26388426699
1655,633,26388428354
1655,634,26388430009
1655,635,26388431664
1655,636,26388433319
1656,637,26388434975
1655,638,26388436630
1656,639,26388438286
1655,640,26388439941
1655,641,26388441596
1655,642,26388443251
1655,643,26388444906
1656,644,26388446562
1655,645,26388448217
1655,646,26388449872
1656,647,26388451528
1655,648,26388453183
1655,649,26388454838
1655,650,26388456493
1656,651,26388458149
1655,652,26388459804
1655,653,26388461459
1656,654,26388463115
1655,655,26388464770
1655,656,26388466425
1655,657,26388468080
1656,658,26388469736
1655,659,26388471391
1655,660,26388473046
1669,661,26388474715
1642,662,26388476357
1655,663,26388478012
1655,664,26388479667
1657,665,26388481324
1654,666,26388482978
1655,667,26388484633
1655,668,26388486288
1656,669,26388487944
1655,670,26388489599
1655,671,26388491254
1656,672,26388492910
1655,673,26388494565
1655,674,26388496220
1655,675,26388497875
1656,676,26388499531
1655,677,26388501186
1656,678,26388502842
1655,679,26388504497
1655,680,26388506152
1655,681,26388507807
1655,682,26388509462
1656,683,26388511118
1655,684,26388512773
1655,685,26388514428
1656,686,26388516084
1655,687,26388517739
1655,688,26388519394
1655,689,26388521049
1656,690,26388522705
1655,691,26388524360
1655,692,26388526015
1655,693,26388527670
1656,694,26388529326
1655,695,26388530981
1655,696,26388532636
1656,697,26388534292
1655,698,26388535947
1655,699,26388537602
1656,700,26388539258
1655,701,26388540913
1655,702,26388542568
1655,703,26388544223
1656,704,26388545879
1655,705,26388547534
1655,706,26388549189
1655,707,26388550844
1656,708,26388552500
1655,709,26388554155
1655,710,26388555810
1656,711,26388557466
1655,712,26388559121
1655,713,26388560776
1655,714,26388562431
1656,715,26388564087
1655,716,26388565742
1655,717,26388567397
1656,718,26388569053
1655,719,26388570708
1655,720,26388572363
1655,721,26388574018
1656,722,26388575674
1655,723,26388577329
1655,724,26388578984
1656,725,26388580640
1655,726,26388582295
1655,727,26388583950
1656,728,26388585606
1671,729,26388587277
1639,730,26388588916
1655,731,26388590571
1656,732,26388592227
1655,733,26388593882
1655,734,26388595537
1656,735,26388597193
1655,736,26388598848
1655,737,26388600503
1655,738,26388602158
1655,739,26388603813
1656,740,26388605469
1655,741,26388607124
1655,742,26388608779
1656,743,26388610435
1655,744,26388612090
1655,745,26388613745
1655,746,26388615400
1656,747,26388617056
1655,748,26388618711
1655,749,26388620366
1656,750,26388622022
1655,751,26388623677
1655,752,26388625332
1655,753,26388626987
1656,754,26388628643
1655,755,26388630298
1655,756,26388631953
1656,757,26388633609
1655,758,26388635264
1655,759,26388636919
1655,760,26388638574
1656,761,26388640230
1655,762,26388641885
1656,763,26388643541
1655,764,26388645196
1655,765,26388646851
1655,766,26388648506
1656,767,26388650162
1655,768,26388651817
1655,769,26388653472
1655,770,26388655127
1655,771,26388656782
1656,772,26388658438
1655,773,26388660093
1655,774,26388661748
1656,775,26388663404
1655,776,26388665059
1655,777,26388666714
1655,778,26388668369
1656,779,26388670025
1655,780,26388671680
1656,781,26388673336
1655,782,26388674991
1655,783,26388676646
3310,784,26388679956
1656,785,26388681612
1655,786,26388683267
1655,787,26388684922
1656,788,26388686578
1655,789,26388688233
1655,790,26388689888
1655,791,26388691543
1656,792,26388693199
1655,793,26388694854
1655,794,26388696509
1656,795,26388698165
1674,796,26388699839
1636,797,26388701475
1655,798,26388703130
1656,799,26388704786
1655,800,26388706441
1655,801,26388708096
1656,802,26388709752
1655,803,26388711407
1655,804,26388713062
1656,805,26388714718
1655,806,26388716373
1655,807,26388718028
1655,808,26388719683
1655,809,26388721338
1656,810,26388722994
1655,811,26388724649
1656,812,26388726305
1655,813,26388727960
1655,814,26388729615
1655,815,26388731270
1655,816,26388732925
1656,817,26388734581
1655,818,26388736236
1655,819,26388737891
1656,820,26388739547
1655,821,26388741202
1655,822,26388742857
