Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
7720.000000,0.000000,0.000000,0.000000,-0.050000,-0.002000,0.354000,-0.007000,0.000000
7721.000000,0.000000,0.000000,0.000000,-0.050000,-0.002000,0.354000,-0.007000,0.000000
7722.000000,0.000000,0.000000,0.000000,-0.050000,-0.002000,0.354000,-0.007000,0.000000
7723.000000,0.000000,0.000000,0.000000,0.047000,-0.002000,0.354000,-0.007000,0.000000
7725.000000,0.000000,0.000000,0.000000,0.047000,-0.002000,0.354000,0.000000,0.000000
7726.000000,0.000000,0.000000,0.000000,0.047000,-0.002000,0.354000,0.000000,0.000000
7727.000000,0.000000,0.000000,0.000000,0.047000,0.000000,-0.309000,0.000000,0.000000
7728.000000,0.000000,0.000000,0.000000,0.047000,0.000000,-0.309000,0.000000,0.000000
7730.000000,0.000000,0.000000,0.000000,0.047000,0.000000,-0.309000,0.000000,0.000000
7731.000000,0.000000,0.000000,0.000000,0.047000,0.000000,-0.309000,0.000000,0.000000
7732.000000,0.000000,0.000000,0.000000,0.047000,0.000000,-0.309000,0.000000,0.000000
7733.000000,0.000000,0.000000,0.000000,0.047000,0.000000,-0.309000,0.000000,0.000000
7735.000000,0.000000,0.000000,0.000000,-0.054000,0.000000,-0.309000,0.000000,0.000000
7736.000000,0.000000,0.000000,0.000000,-0.054000,0.000000,-0.309000,0.002000,0.000000
7737.000000,0.000000,0.000000,0.000000,-0.054000,0.000000,-0.309000,0.002000,0.000000
7738.000000,0.000000,0.000000,0.000000,-0.054000,0.000000,-0.309000,0.002000,0.000000
7739.000000,0.000000,0.000000,0.000000,-0.054000,0.000000,0.114000,0.002000,0.000000
7741.000000,0.000000,0.000000,0.000000,-0.054000,0.000000,0.114000,0.002000,0.000000
7742.000000,0.000000,0.000000,0.000000,-0.054000,0.000000,0.114000,0.002000,0.000000
7743.000000,0.000000,0.000000,0.000000,-0.054000,0.000000,0.114000,0.002000,0.000000
7744.000000,0.000000,0.000000,0.000000,0.040000,0.000000,0.114000,0.002000,0.000000
